,amplitude_cutoff,amplitude_cv_median,amplitude_cv_range,amplitude_median,firing_range,firing_rate,isi_violations_ratio,isi_violations_count,num_spikes,presence_ratio,rp_contamination,rp_violations,sd_ratio,sliding_rp_violation,snr,sync_spike_2,sync_spike_4,sync_spike_8
0,0.00014651657610007928,0.4516488313674927,0.31077833771705593,37.44,3.0,4.3575,0.0,0.0,15687.0,1.0,0.0,0.0,0.9083812241437953,0.01,2.7232523020923245,0.06559571619812583,0.0,0.0
1,1.4894642640685174e-05,0.12378239631652832,0.07751141116023064,161.45999,4.800000000000001,10.59361111111111,0.0,0.0,38137.0,1.0,0.0,0.0,1.1060882084923704,0.005,11.697338955910903,0.07153158350158638,2.6221254949261872e-05,0.0
2,0.0003132162356193643,0.12099252641201019,0.0853921584784984,154.43999,2.9999999999999996,4.141111111111111,0.005399362400092898,1.0,14908.0,1.0,0.008132109200161053,1.0,0.9932158151865543,0.02,10.968890077158619,0.07284679366782935,0.00013415615776764153,0.0
3,3.784183145133691e-05,0.11669313162565231,0.06143072992563248,241.01999,3.6099999999999905,6.134722222222222,0.0,0.0,22085.0,1.0,0.0,0.0,1.0914426564938418,0.005,11.720383799384837,0.0743943853294091,0.00013583880461851935,0.0
4,0.00020554952625565775,0.31489336490631104,0.30204139053821555,72.54,3.8000000000000007,7.358611111111111,0.006839817784347303,4.0,26491.0,1.0,0.010312904677969414,4.0,1.007944490389366,0.015,3.7816391308200523,0.06636216073383414,7.549733871881016e-05,0.0
5,0.00023408372610124792,0.219813272356987,0.12070195376873014,114.659996,3.2,4.761666666666667,0.0,0.0,17142.0,1.0,0.0,0.0,1.0966599327882143,0.01,5.670210345603274,0.07140357017850893,0.0,0.0
6,7.179119606202057e-05,0.18098556995391846,0.08656635880470276,124.02,5.4,15.241111111111111,0.0007972104479701424,2.0,54868.0,1.0,0.0011965315157893563,2.0,0.9554185912407518,0.005,5.823094757593698,0.07076984763432237,1.8225559524677407e-05,0.0
7,3.0012895732679744e-05,0.34658756852149963,0.19308742284774782,63.179996,5.0,13.104166666666666,0.003774465571903148,7.0,47175.0,1.0,0.004864717042685318,6.0,0.9413687927050247,0.005,3.3286069858303087,0.06855325914149443,2.1197668256491786e-05,0.0
8,0.0001990033377090686,0.15479540824890137,0.06134378463029863,131.04,3.2,4.568333333333333,0.0,0.0,16446.0,1.0,0.0,0.0,0.9790493073308579,0.01,7.857805589784351,0.07302687583606957,0.0,0.0
9,,,,58.499996,0.2,0.07388888888888889,0.0,0.0,266.0,1.0,0.0,0.0,1.3206186189439892,,2.9981069481981635,0.045112781954887216,0.0,0.0
10,0.00024064241388914315,0.2553650140762329,0.1021876335144043,79.56,2.8,3.3558333333333334,0.008221962230073236,1.0,12081.0,1.0,0.012409946734081245,1.0,1.0030540461626445,0.025,4.605415932003671,0.07102061087658307,8.277460475126231e-05,0.0
11,2.177572215733085e-05,0.26424095034599304,0.18957478106021863,84.24,5.01,13.054444444444444,0.0,0.0,46996.0,1.0,0.0,0.0,0.9821583903701283,0.005,4.062676526735086,0.06953783300706443,6.3835220018725e-05,0.0
12,6.331304938852626e-05,0.17851808667182922,0.11232283264398568,131.04,3.2,5.616944444444444,0.008804348857248467,3.0,20221.0,1.0,0.013294900475195326,3.0,1.0050345441433985,0.015,6.250271513618743,0.07205380544977993,4.9453538400672565e-05,0.0
13,0.0001776203429438972,0.16032306849956512,0.11197999864816666,149.76,3.2,5.364166666666667,0.0,0.0,19311.0,1.0,0.0,0.0,1.0490152890288162,0.01,7.223785464744294,0.07115115737144632,0.00010356791466003832,0.0
14,,,,72.54,0.2,0.06527777777777778,0.0,0.0,235.0,0.9833333333333333,0.0,0.0,1.0704187280919955,,3.4488909569756205,0.07659574468085106,0.00425531914893617,0.0
15,5.95733806636437e-05,0.28929102420806885,0.1605050526559353,81.899994,3.5999999999999996,5.678888888888889,0.0,0.0,20444.0,1.0,0.0,0.0,0.964353935825848,0.005,3.8074945197847514,0.07136568186264919,4.891410682840931e-05,0.0
16,0.00040234578937923236,0.8588055968284607,0.5672202885150905,25.74,1.9999999999999998,1.7663888888888888,0.0,0.0,6359.0,1.0,0.0,0.0,0.9583481869948487,0.05,1.5400849081729349,0.07139487340776851,0.0,0.0
17,0.00013407684717983866,0.26100021600723267,0.15781586617231372,88.92,3.0,4.4911111111111115,0.013771774399483308,3.0,16168.0,1.0,0.020875556018771335,3.0,0.9533911997642344,0.025,4.205443575319408,0.06846857991093518,0.0001855517070757051,0.0
18,2.0946896258465622e-05,0.26669222116470337,0.08265720307826996,138.06,3.999999999999999,9.053333333333333,0.1796206844944376,159.0,32592.0,1.0,0.1683782868439705,91.0,1.4865454873078576,0.105,7.043921274061251,0.07081492390770741,6.136475208640157e-05,0.0
19,5.44736753618521e-05,0.5221511125564575,0.2745251715183258,42.12,3.8,6.017777777777778,0.002556842355600453,1.0,21664.0,1.0,0.0038426464994606446,1.0,0.9299060955041907,0.01,2.1313875077006497,0.07159342688330872,9.231905465288036e-05,0.0
20,5.050207876652027e-05,0.5237672328948975,0.2427871733903884,44.46,3.799999999999999,6.2122222222222225,0.011996437154136718,5.0,22364.0,1.0,0.014500862085576549,4.0,0.9547745007200513,0.015,2.1403809102078672,0.06483634412448579,8.942944017170452e-05,0.0
21,3.30135063723978e-05,0.46345239877700806,0.19162430614233017,46.8,2.8000000000000003,3.9002777777777777,0.030433729182650825,5.0,14041.0,1.0,0.037212874015424946,4.0,0.8934322162793618,0.05,2.21569872647516,0.07243073855138522,0.0,0.0
22,9.22852335211235e-05,0.3123653829097748,0.25381934940814904,72.54,3.6100000000000003,6.464722222222222,0.008862096980884988,4.0,23273.0,1.0,0.013382693716887495,4.0,0.958025421458312,0.015,3.619761745151445,0.07132728913333047,8.593649293172346e-05,0.0
23,7.596281843670441e-05,0.23003265261650085,0.09794227480888362,98.28,3.6000000000000005,5.6375,0.023307362012678114,8.0,20295.0,1.0,0.031073700059328635,7.0,0.9761421498559649,0.035,4.646110435105279,0.0697708795269771,4.927322000492732e-05,0.0
24,0.002646665059801543,0.42758530378341675,0.10615043044090267,51.48,0.6,0.14222222222222222,0.0,0.0,512.0,1.0,0.0,0.0,0.9953995287648765,,2.5754266790122107,0.07421875,0.0,0.0
25,3.5716136166623226e-05,0.20144331455230713,0.0824771136045456,114.659996,3.4,5.283333333333333,0.0,0.0,19020.0,1.0,0.0,0.0,1.0087873977370665,0.01,5.714052539582409,0.0690851735015773,0.0,0.0
26,9.118814536601887e-05,0.48203274607658386,0.22876397520303726,42.12,4.800000000000001,12.585833333333333,0.006429911226877376,11.0,45309.0,1.0,0.008806840988017761,10.0,0.905681053250832,0.01,2.125766845548156,0.06658721225363615,6.621201085876978e-05,0.0
27,0.003690827984254159,0.3906673789024353,0.1380728736519813,53.82,0.4,0.14833333333333334,0.0,0.0,534.0,1.0,0.0,0.0,0.9752474362568803,,2.75753900590754,0.06741573033707865,0.0,0.0
28,6.195948773380187e-05,0.39047276973724365,0.21328729391098022,56.159996,3.5999999999999996,6.078055555555555,0.010025519940121078,4.0,21881.0,1.0,0.011343042236222511,3.0,0.9294065626044204,0.015,3.000355298824968,0.0681413098121658,9.140350075407889e-05,0.0
29,8.266176164704251e-05,0.14538288116455078,0.07444754801690578,161.45999,3.0000000000000004,4.817777777777778,0.0,0.0,17344.0,1.0,0.0,0.0,0.9718297259471002,0.01,7.844315657555139,0.0697071033210332,0.00011531365313653136,0.0
30,0.00011181310332945145,0.1980610191822052,0.0818273901939392,112.31999,3.1999999999999997,5.103611111111111,0.0035548484935569655,1.0,18373.0,1.0,0.0,0.0,0.9207141049334312,0.01,5.62412022982637,0.06819789909105753,5.442769281010178e-05,0.0
31,0.000203063718242348,0.39235562086105347,0.24169310182332993,56.159996,3.5999999999999996,5.9302777777777775,0.007898550993487314,3.0,21349.0,1.0,0.0119188560550616,3.0,0.946304162887661,0.02,2.7620354927466315,0.06576420441238466,4.68406014333224e-05,0.0
32,,,,58.499996,0.4,0.09805555555555556,9.630123024821643,1.0,353.0,1.0,1.0,1.0,1.0690967056693519,,2.9452719949553634,0.042492917847025496,0.0,0.0
33,5.708587018536648e-05,5.261177062988281,2.886799919605255,21.06,9.400000000000002,20.947777777777777,0.03270634597559413,155.0,75412.0,1.0,0.006350424456796122,20.0,1.5764146039103337,0.005,0.619406446326477,0.08155200763804168,5.304195618734419e-05,0.0
34,2.734930734376879e-05,0.18198776245117188,0.08511107861995695,126.35999,3.2,4.591111111111111,0.004392791978925844,1.0,16528.0,1.0,0.006611040899274667,1.0,0.976505574664068,0.015,5.988344883617029,0.06927637947725072,0.00012100677637947725,0.0
35,0.00012821347133820202,0.3552423119544983,0.15970208495855331,63.179996,2.8,4.113888888888889,0.0,0.0,14810.0,1.0,0.0,0.0,0.9561652953528068,0.01,2.99248628604567,0.07157326130992572,6.75219446320054e-05,0.0
36,,,,58.499996,0.2,0.0325,87.66162612316458,1.0,117.0,0.9,1.0,1.0,0.8511487725880051,,2.744049116561231,0.05982905982905983,0.0,0.0
37,8.398555283611497e-05,0.17557954788208008,0.11248217821121212,133.37999,5.20999999999999,15.538611111111111,0.0,0.0,55939.0,1.0,0.0,0.0,0.9745701951757408,0.005,6.543674623566684,0.07236453994529755,7.150646239653908e-05,0.0
38,0.00016260593165998597,0.12176747620105743,0.04809224046766758,198.9,2.8099999999999996,3.973333333333333,0.0,0.0,14304.0,1.0,0.0,0.0,1.0564201909248845,0.015,9.556395850839076,0.07508389261744966,6.991051454138702e-05,0.0
39,6.885689113423406e-05,0.34672993421554565,0.15486892461776736,63.179996,4.4,5.659722222222222,0.020234107418419963,7.0,20375.0,1.0,0.026362779025513983,6.0,0.9565153536690162,0.03,2.8969335285516546,0.0652760736196319,9.815950920245399e-05,0.0
40,6.134860016254481e-05,0.5298808813095093,0.2285251438617707,42.12,3.6,5.2175,0.020408100270914976,6.0,18783.0,1.0,0.031095619172224476,6.0,0.965675139341134,0.035,1.952647921160044,0.0637278390033541,0.0,0.0
41,0.0001409340072113552,0.16911378502845764,0.06685679629445077,133.37999,3.8000000000000007,6.500555555555556,0.0,0.0,23402.0,1.0,0.0,0.0,0.9926767368250287,0.005,6.375052186017664,0.07110503375779847,4.27313904794462e-05,0.0
42,0.0005470256425839302,0.4444665312767029,0.17068949043750764,46.8,0.8,0.3163888888888889,1.8499661995758954,2.0,1139.0,1.0,1.0,2.0,0.9550637794651754,,2.3820730278118933,0.053555750658472345,0.0,0.0
43,7.894221708935256e-05,0.14625242352485657,0.0845021072775125,156.78,3.4000000000000004,5.698611111111111,0.002851269073133804,1.0,20515.0,1.0,0.0042860888886815385,1.0,1.0241962985303348,0.01,7.568899352621633,0.07038752132585913,0.00014623446258835,0.0
44,0.000942221865888346,1.0008578300476074,0.3972197324037552,28.079998,3.009999999999991,3.564722222222222,0.03643299396464988,5.0,12833.0,1.0,0.04471951004700181,4.0,1.276776549260757,0.055,1.2938961965225588,0.07956050806514454,0.00015584820384945063,0.0
45,4.0922203387309956e-05,0.12304334342479706,0.050017383694648726,203.57999,6.200000000000001,18.474166666666665,0.0002712979610615979,1.0,66507.0,1.0,0.00040702977821260866,1.0,0.9913975326393999,0.005,9.952096126917894,0.07014299246695836,6.014404498774565e-05,0.0
46,0.0005116280860161975,1.4366028308868408,0.7913202345371244,18.72,3.799999999999999,6.363888888888889,0.016004020819706893,7.0,22910.0,1.0,0.017296754013676474,5.0,1.178929077589676,0.02,0.9588995648440637,0.08974247053688346,0.00021824530772588389,0.0
47,8.765844966613113e-05,0.14913704991340637,0.14134240299463252,161.45999,3.1999999999999997,4.9063888888888885,0.0,0.0,17663.0,1.0,0.0,0.0,1.0260263991491811,0.01,7.736397400442734,0.07093925154277303,5.6615523976674406e-05,0.0
48,0.00020061935692671732,0.2645565867424011,0.1099523305892944,81.899994,3.4000000000000004,5.483055555555556,0.003079859833833708,1.0,19739.0,1.0,0.004630510564795909,1.0,1.0054736424717585,0.01,4.1638501607961125,0.07168549571913471,0.0,0.0
49,0.0038324593432995085,0.4540380537509918,0.13847482800483701,53.82,0.4,0.1413888888888889,0.0,0.0,509.0,1.0,0.0,0.0,1.1394882158118662,,2.8317328612759476,0.04911591355599214,0.0,0.0
50,,,,59.67,0.2,0.025,148.14814814814812,1.0,90.0,0.7833333333333333,1.0,1.0,0.9234979926242607,,2.815370246228902,0.022222222222222223,0.0,0.0
51,0.0002057095872689609,0.37941619753837585,0.17743782401084895,58.499996,0.8,0.34944444444444445,0.0,0.0,1258.0,1.0,0.0,0.0,1.0438092342505674,,3.2454199423692005,0.0643879173290938,0.0,0.0
52,1.720501538153996e-05,0.1147502213716507,0.0489236906170845,205.92,4.799999999999999,12.123888888888889,0.0,0.0,43646.0,1.0,0.0,0.0,0.9551211419203924,0.005,10.013924697082428,0.06985748980433487,9.164642808046556e-05,0.0
53,2.4240417588789643e-05,0.2254895120859146,0.0865654468536377,98.28,4.800000000000001,10.542222222222222,0.005831898427124775,7.0,37952.0,1.0,0.008786448479125353,7.0,0.8696492880435026,0.01,4.651731097257773,0.06913996627318718,2.6349072512647553e-05,0.0
54,6.575157395273808e-05,0.25523510575294495,0.1251158498227596,93.6,3.4099999999999993,5.812222222222222,0.02740891369302185,10.0,20924.0,1.0,0.037713175280446376,9.0,0.9766913326175785,0.035,4.441514816356423,0.06915503727776716,4.779200917606576e-05,0.0
55,0.0007902200690789287,0.47860977053642273,0.45197999477386464,51.48,0.8,0.32305555555555554,0.0,0.0,1163.0,1.0,0.0,0.0,1.1094933599793055,,2.4854947980852065,0.07394668959587274,0.0,0.0
56,9.279407202582303e-05,0.2347404956817627,0.09755060821771622,93.6,4.800000000000001,10.508055555555556,0.007546994500598046,9.0,37829.0,1.0,0.011385304328220158,9.0,0.9712659086881444,0.01,4.755152653116569,0.07095085780750218,5.286949165983769e-05,0.0
57,2.341023866318511e-05,0.1514177769422531,0.06175414323806762,154.43999,3.2,4.435277777777777,0.0,0.0,15967.0,1.0,0.0,0.0,1.0119596737500909,0.01,7.45198769300201,0.07283772781361558,0.00012525834533725808,0.0
58,8.76537882858234e-05,0.371158242225647,0.14225848168134686,51.48,2.2,2.4283333333333332,0.015702168799256722,1.0,8742.0,1.0,0.023837363139609935,1.0,0.8377310473972279,0.045,2.5743025036988083,0.060855639441775335,0.00011439029970258523,0.0
59,,,,53.82,0.2,0.029722222222222223,0.0,0.0,107.0,0.85,0.0,0.0,0.8214702638541725,,2.6439998722281244,0.07476635514018691,0.0,0.0
60,5.90790900188837e-05,0.2505161762237549,0.1576625525951385,91.259995,3.4000000000000004,5.470277777777778,0.009282794557659483,3.0,19693.0,1.0,0.01402250719044229,3.0,1.0252912278916448,0.02,4.399921401833128,0.07134514802213984,5.0779464784441175e-05,0.0
61,0.00011795708802249722,0.29246747493743896,0.2009587906301019,81.899994,3.2,4.374722222222222,0.009676209789598036,2.0,15749.0,1.0,0.014621204494836948,2.0,1.060459915501105,0.025,4.014338060331378,0.06927423963426249,0.0,0.0
62,7.610173294061413e-05,0.5350916981697083,0.3414846330881112,42.12,3.4000000000000004,5.489722222222222,0.012289536282486297,4.0,19763.0,1.0,0.018607422509961613,4.0,1.001680283446676,0.02,2.251671693260479,0.06871426402874058,5.059960532307848e-05,0.0
63,,,,56.159996,0.4,0.07694444444444444,15.639458353425692,1.0,277.0,0.9833333333333333,1.0,1.0,0.9594341347398481,,2.552943601573201,0.04693140794223827,0.0,0.0
64,0.00021677939959140996,0.576032817363739,0.6421455428004266,49.14,3.0,4.449166666666667,0.009355109830568085,2.0,16017.0,1.0,0.014132528932871313,2.0,0.9100323898696764,0.02,2.3831972031252953,0.06499344446525566,0.0,0.0
65,,,,78.39,0.2,0.05611111111111111,29.408881482207626,1.0,202.0,0.9833333333333333,1.0,1.0,2.4004428991333557,,5.453249441650545,0.04950495049504951,0.0,0.0
66,1.4261917575497623e-05,0.09522310644388199,0.055884326249361016,304.19998,6.399999999999999,20.269166666666667,0.0006761230029944355,3.0,72969.0,1.0,0.0010146993118383962,3.0,0.8799118800988074,0.005,14.798305050689386,0.0719620660828571,5.481779933944552e-05,0.0
67,0.00014310788800746559,0.1472826898097992,0.13708163052797318,236.34,3.3999999999999995,6.4075,0.0022552724506410085,1.0,23067.0,1.0,0.003388650150884076,1.0,1.0569545700866882,0.01,11.187536279216124,0.07205098192222656,0.00013005592404734037,0.0
68,4.317020650202207e-05,0.18925565481185913,0.10532298237085341,135.72,3.1999999999999997,4.921111111111111,0.0,0.0,17716.0,1.0,0.0,0.0,1.0506221226549306,0.01,6.720166073895003,0.071517272522014,0.00011289230074508918,0.0
69,8.803705405552011e-05,0.16780531406402588,0.09250396490097046,145.08,3.1999999999999997,4.961944444444445,0.0,0.0,17863.0,1.0,0.0,0.0,0.993925636005193,0.01,7.019189845995437,0.06801769019761518,0.0,0.0
70,0.00014626197948130565,0.7040265798568726,0.5728756278753281,56.159996,3.5999999999999996,6.166666666666667,0.014609203798392988,6.0,22200.0,1.0,0.014717506294152138,4.0,1.1475580611059626,0.025,2.91716825536386,0.07013513513513514,0.0,0.0
71,2.0240513394230644e-05,0.4164579510688782,0.17848085165023797,53.82,3.0,4.549166666666666,0.004474170685338813,1.0,16377.0,1.0,0.006733928927407873,1.0,0.9057805557697023,0.015,2.5180950245158016,0.07076998229223912,0.0,0.0
72,5.56899875415615e-05,0.13088008761405945,0.0885689526796341,196.56,3.2,5.791944444444445,0.0,0.0,20851.0,1.0,0.0,0.0,1.0626350563262623,0.005,9.654196315716344,0.06963694786820776,0.00014387799146323916,0.0
73,0.00013124961732827693,0.46978098154067993,0.37256393134593946,51.48,4.800000000000001,11.423333333333334,0.0028382492804257553,4.0,41124.0,1.0,0.004266475326494379,4.0,1.0391681867815512,0.005,2.8643330877065427,0.06876762960801479,2.4316700710047662e-05,0.0
74,0.00013942656959825097,0.47860655188560486,0.4394819140434265,49.14,1.8,1.623888888888889,0.10533795400219267,3.0,5846.0,1.0,0.17296545538083963,3.0,1.0697175936738013,0.145,2.4146732542424885,0.06448853917208347,0.0,0.0
75,9.31878581630246e-05,0.11798270791769028,0.060750460252165794,222.29999,3.1999999999999997,5.088333333333333,0.007152454971093889,2.0,18318.0,1.0,0.010786860637851059,2.0,1.0119677593529617,0.015,10.773849198122871,0.06834807293372638,5.4591112566874116e-05,0.0
76,0.0019491384369884224,0.364677369594574,0.15428005456924437,63.179996,0.8,0.2833333333333333,1.1534025374855825,1.0,1020.0,1.0,1.0,1.0,0.9100181862817297,,3.2308058777094892,0.07058823529411765,0.0,0.0
77,7.731941836815782e-05,0.29458194971084595,0.15183564648032188,81.899994,3.4099999999999913,5.6525,0.020285846853723474,7.0,20349.0,1.0,0.026431104746710288,6.0,0.9340652814496698,0.03,4.053683553056903,0.06722689075630252,4.9142464003145115e-05,0.0
78,5.298773280576473e-05,0.08285942673683167,0.04123458564281461,339.3,3.5999999999999996,5.965277777777778,0.0026020455872965967,1.0,21475.0,1.0,0.003910715227741113,1.0,0.9751570977571227,0.01,16.321528079612097,0.06952270081490104,9.313154831199069e-05,0.0
79,4.3119293354842566e-05,0.17676180601119995,0.18784374371170998,152.09999,3.4000000000000004,5.6475,0.005806223657752959,2.0,20331.0,1.0,0.008747595701911526,2.0,0.9892245256365197,0.015,7.248516892810108,0.06699129408292755,0.0,0.0
80,7.973094374322061e-05,0.23642532527446747,0.16793248057365404,109.979996,3.8000000000000007,6.323333333333333,0.0,0.0,22764.0,1.0,0.0,0.0,0.9174517774374723,0.005,5.2486542517307235,0.06734317343173432,4.3929010718678616e-05,0.0
81,0.00014607930578801605,0.5524684190750122,0.24627685546874983,74.88,4.0,6.469166666666666,0.019912329663087196,9.0,23289.0,1.0,0.02350734900215634,7.0,1.3697945670381124,0.03,3.626506368202824,0.07059126626304264,8.587745287474773e-05,0.0
82,0.00012011747905742298,0.42004284262657166,0.26569807529449463,58.499996,2.6000000000000005,3.07,0.019648503982555274,2.0,11052.0,1.0,0.02992037025183636,2.0,0.856951628744789,0.05,2.8564640749272443,0.07048498009410062,0.0,0.0
83,3.931474279760544e-05,0.15057113766670227,0.07200133800506592,182.51999,3.8,6.682777777777778,0.0020733002733625675,1.0,24058.0,1.0,0.003114801403936829,1.0,0.9924711640144296,0.01,7.696891341874512,0.0651342588743869,0.0,0.0
84,6.373761604426469e-05,0.402287095785141,0.2217890799045562,60.839996,6.0,17.283055555555556,0.004339735175219304,14.0,62219.0,1.0,0.0065309292814687,14.0,0.9022026369095176,0.01,2.411782701506183,0.06964110641443932,4.821678265481605e-05,0.0
85,0.00012685103497353926,0.20198214054107666,0.09918742626905441,133.37999,3.2,4.289722222222222,0.0,0.0,15443.0,1.0,0.0,0.0,0.9707458596642032,0.01,5.43253326235541,0.06831574176002073,6.47542575924367e-05,0.0
86,,,,70.2,0.4,0.08722222222222223,0.0,0.0,314.0,0.9833333333333333,0.0,0.0,0.8545640480245065,,2.877180621790125,0.06369426751592357,0.0,0.0
87,0.000160028167140224,0.1855798363685608,0.08221480250358582,131.04,3.2,5.440833333333333,0.0031278462667938857,1.0,19587.0,1.0,0.004702827694352263,1.0,0.986883639342077,0.01,6.314348005581048,0.07045489355184562,5.10542706897432e-05,0.0
88,,,,53.82,0.4,0.07222222222222222,0.0,0.0,260.0,0.9666666666666667,0.0,0.0,1.0658069076504235,,2.6316341581952174,0.05384615384615385,0.0,0.0
89,0.000263293430943818,0.8089736700057983,0.34247297048568726,30.419998,5.200000000000001,10.16388888888889,0.016133512584625316,18.0,36590.0,1.0,0.02037444983379655,15.0,1.0512720503971762,0.01,1.7053349269890072,0.054960371686253076,5.465974309920743e-05,0.0
90,0.00010968940428318045,0.47773483395576477,0.26433558762073517,51.48,3.5999999999999996,6.341666666666667,0.018418718483126442,8.0,22830.0,1.0,0.02802065631484707,8.0,0.926346532339694,0.025,2.170893505007583,0.06679807271134472,0.0,0.0
91,0.0009451134031495477,0.34485146403312683,0.15076193809509275,65.52,1.0,0.4638888888888889,0.0,0.0,1670.0,1.0,0.0,0.0,0.9730803248979919,,3.48373953403302,0.06407185628742515,0.0,0.0
92,,,,67.86,0.2,0.05722222222222222,0.0,0.0,206.0,1.0,0.0,0.0,0.905551492724368,,3.135253120215474,0.06796116504854369,0.0048543689320388345,0.0
93,6.371727608775966e-05,0.22283817827701569,0.10775916576385497,112.31999,5.399999999999999,13.617222222222223,0.0,0.0,49022.0,1.0,0.0,0.0,0.9879534844314376,0.005,4.575931338417225,0.06874464526131124,4.079800905715801e-05,0.0
94,0.00022794258112793922,0.2915518581867218,0.1450697124004364,74.88,2.6,3.5727777777777776,0.0,0.0,12862.0,1.0,0.0,0.0,0.8704584868803315,0.015,3.0939808986388653,0.06398693826776551,0.0,0.0
95,0.0001679207414576057,0.31289222836494446,0.2479974970221519,56.159996,3.5999999999999996,5.8625,0.005388160561123041,2.0,21105.0,1.0,0.008115168824207264,2.0,0.9805293660953783,0.015,3.9778033275111335,0.06965174129353234,4.738213693437574e-05,0.0
96,0.00015283651405608863,5.280770778656006,5.453946650028225,16.38,4.999999999999999,9.623611111111112,0.01799586057715349,18.0,34645.0,1.0,0.006016720656111363,4.0,1.0207269317643444,0.01,0.5617535988833817,0.09037379131187762,0.00011545677586953385,0.0
97,5.552909988940668e-05,0.14716646075248718,0.07747022882103917,142.73999,3.0,4.430833333333333,0.00943268673798556,2.0,15951.0,1.0,0.014250569472118113,2.0,1.0514887290165302,0.02,8.281385070572316,0.07153156541909599,0.00012538398846467306,0.0
98,0.00010486578937361815,0.17219947278499603,0.08175588399171826,152.09999,3.4000000000000004,5.6002777777777775,0.0029522770249661347,1.0,20161.0,1.0,0.004438264633929601,1.0,1.073214713156981,0.01,7.517188574692235,0.07271464709091811,0.0,0.0
